OBJECTID,CommunityName,DataYear,ResidentsAge16AndOver,ResidentsEmployed,WagesLessThan5k,Wages5k_10k,Wages10k_20k,Wages20k_50k,WagesGreaterThan50k,EmployedInPrivateSector,PercentInPrivateSector,EmployedInStateGovt,PercentInStateGovt,EmployedFemales,EmployedMales,EmployedAge45Plus,EmployedAge50Plus,EmployedIn1stQtr,EmployedIn2ndQtr,EmployedIn3rdQtr,EmployedIn4thQtr,EmployedInAllQtrs,NewHires,LocalLaborMarketInfoURL,TotalWages,UnemploymentInsuranceClaimants,x,y
1367,Cooper Landing,2002,301,144,32,20,34,35,23,126,0.8799999952,8,0.05999999866,55,89,55,35,99,128,122,109,77,60,,3673704,44,-149.808407,60.49487276
1368,Cooper Landing,2003,285,144,30,24,32,33,25,129,0.8999999762,6,0.03999999911,52,92,60,42,101,127,120,110,78,56,,3732787,42,-149.808407,60.49487276
1369,Cooper Landing,2004,288,144,37,25,32,29,21,128,0.8899999857,5,0.02999999933,53,91,70,53,84,116,119,96,59,60,,3488191,49,-149.808407,60.49487276
1370,Cooper Landing,2005,294,136,26,24,30,32,24,118,0.8700000048,6,0.03999999911,53,83,64,51,82,114,123,99,66,53,,3564189,33,-149.808407,60.49487276
1371,Cooper Landing,2006,297,144,30,20,35,34,25,126,0.8799999952,6,0.03999999911,59,85,69,52,89,129,116,103,64,57,,3792146,45,-149.808407,60.49487276
1372,Cooper Landing,2007,300,136,26,23,30,30,27,120,0.8799999952,5,0.03999999911,56,80,70,52,84,122,115,100,65,49,,3791299,47,-149.808407,60.49487276
1373,Cooper Landing,2008,309,137,30,18,22,36,31,122,0.8899999857,8,0.05999999866,57,80,72,63,81,117,120,107,64,54,,4061955,45,-149.808407,60.49487276
1374,Cooper Landing,2009,306,139,24,21,32,27,35,121,0.8700000048,9,0.05999999866,53,86,68,62,83,119,120,109,69,46,,4176562,48,-149.808407,60.49487276
1375,Cooper Landing,2010,304,142,34,11,29,36,32,123,0.8700000048,9,0.05999999866,58,84,74,67,82,131,127,116,68,40,,4420820,56,-149.808407,60.49487276
1376,Cooper Landing,2011,294,133,21,18,29,34,31,115,0.8600000143,10,0.07999999821,54,79,66,57,76,115,119,112,66,38,,4527896,53,-149.808407,60.49487276
1377,Cooper Landing,2012,305,137,23,13,26,40,35,117,0.8500000238,12,0.09000000358,54,83,62,52,86,120,121,116,74,0,,4951539,46,-149.808407,60.49487276
1378,Cooper Landing,2013,283,134,24,16,24,37,33,114,0.8500000238,11,0.07999999821,57,77,64,51,76,117,116,106,58,39,,4811864,36,-149.808407,60.49487276
1379,Cooper Landing,2014,287,136,20,10,27,50,29,119,0.8799999952,11,0.07999999821,54,82,60,50,84,121,123,105,64,36,,4458895,39,-149.808407,60.49487276
1380,Cooper Landing,2015,273,121,17,13,29,37,25,104,0.8600000143,10,0.07999999821,52,69,54,47,71,109,104,94,54,36,,3877786,39,-149.808407,60.49487276
1381,Copper Center,2001,221,139,47,10,26,35,21,130,0.9399999976,2,0.009999999776,60,79,46,26,94,110,113,102,64,79,,3138699,47,-145.3053,61.955
1382,Copper Center,2002,202,134,50,12,19,35,18,113,0.8399999738,2,0.009999999776,59,75,44,25,95,107,103,93,66,64,,2933794,47,-145.3053,61.955
1383,Copper Center,2003,253,165,58,18,28,38,23,128,0.7799999714,6,0.03999999911,68,97,56,33,105,139,132,123,81,77,,3595622,58,-145.3053,61.955
1384,Copper Center,2004,235,150,37,28,14,45,26,123,0.8199999928,6,0.03999999911,64,86,53,34,105,135,128,115,80,64,,3982847,50,-145.3053,61.955
1385,Copper Center,2005,244,152,46,22,22,35,27,119,0.7799999714,5,0.02999999933,66,86,57,36,98,116,130,111,64,63,,3794754,46,-145.3053,61.955
1386,Copper Center,2006,225,139,36,17,17,40,29,107,0.7699999809,6,0.03999999911,60,79,57,36,100,119,116,103,75,61,,3890977,41,-145.3053,61.955
1387,Copper Center,2007,191,109,26,7,16,39,21,88,0.8100000024,4,0.03999999911,43,66,47,32,75,95,97,86,62,46,,3385069,46,-145.3053,61.955
1388,Copper Center,2008,180,109,24,14,24,26,21,89,0.8199999928,6,0.05999999866,47,62,45,29,72,101,94,86,61,52,,3132005,34,-145.3053,61.955
1389,Copper Center,2009,186,113,26,16,9,37,25,87,0.7699999809,5,0.03999999911,47,66,47,30,81,98,96,91,66,48,,3565412,29,-145.3053,61.955
1390,Copper Center,2010,187,104,28,7,15,30,24,82,0.7900000215,7,0.0700000003,46,58,49,32,77,90,80,85,64,46,,3254626,33,-145.3053,61.955
1391,Copper Center,2011,184,100,28,7,9,29,27,83,0.8299999833,5,0.05000000075,39,61,38,26,73,86,80,77,59,40,,3462318,26,-145.3053,61.955
1392,Copper Center,2012,175,100,25,6,11,32,26,75,0.75,5,0.05000000075,42,58,48,34,81,86,83,78,63,0,,3394279,18,-145.3053,61.955
1393,Copper Center,2013,169,95,17,7,10,32,29,73,0.7699999809,7,0.0700000003,41,54,46,34,74,89,85,79,62,29,,3629312,25,-145.3053,61.955
1394,Copper Center,2014,160,87,19,7,6,30,25,65,0.75,8,0.09000000358,36,51,45,36,66,72,77,71,59,30,,3358267,17,-145.3053,61.955
1395,Copper Center,2015,160,85,17,9,11,26,22,66,0.7799999714,6,0.0700000003,38,47,46,38,62,76,69,63,47,32,,3147996,19,-145.3053,61.955
1396,Cordova,2001,1799,1133,258,152,231,393,99,850,0.75,56,0.05000000075,542,591,433,248,857,951,929,855,623,504,,24518255,297,-145.7601749,60.54406292
1397,Cordova,2002,1730,1110,261,119,266,346,118,762,0.6899999976,70,0.05999999866,525,585,447,265,835,938,925,831,623,432,,24704557,289,-145.7601749,60.54406292
1398,Cordova,2003,1704,1125,252,130,275,344,124,787,0.6999999881,64,0.05999999866,541,584,496,292,827,966,956,809,583,499,,24997812,305,-145.7601749,60.54406292
1399,Cordova,2004,1700,1077,249,131,223,337,137,755,0.6999999881,60,0.05999999866,512,565,481,286,744,919,916,837,590,505,,25400627,293,-145.7601749,60.54406292
1400,Cordova,2005,1703,1073,232,120,234,352,135,742,0.6899999976,69,0.05999999866,509,564,492,302,795,917,858,813,553,432,,25844706,250,-145.7601749,60.54406292
1401,Cordova,2006,1689,1047,229,125,187,349,157,730,0.6999999881,59,0.05999999866,509,538,489,326,767,922,884,817,618,389,,26531941,235,-145.7601749,60.54406292
1402,Cordova,2007,1696,1057,229,109,205,350,164,722,0.6800000072,70,0.0700000003,509,548,525,364,784,921,885,790,594,377,,27427826,233,-145.7601749,60.54406292
1403,Cordova,2008,1703,1063,215,113,190,357,188,707,0.6700000167,72,0.0700000003,527,536,524,367,778,935,907,809,620,409,,29340892,209,-145.7601749,60.54406292
1404,Cordova,2009,1679,1017,181,112,171,345,208,682,0.6700000167,64,0.05999999866,493,524,515,366,753,916,885,837,644,317,,30156070,210,-145.7601749,60.54406292
1405,Cordova,2010,1692,1064,213,84,180,377,210,705,0.6600000262,70,0.0700000003,518,546,527,385,812,943,903,806,630,345,,31986321,231,-145.7601749,60.54406292
1406,Cordova,2011,1721,1045,215,84,157,369,220,720,0.6899999976,59,0.05999999866,515,530,514,394,812,922,868,767,605,334,,32242804,240,-145.7601749,60.54406292
1407,Cordova,2012,1729,1072,228,106,170,347,221,733,0.6800000072,61,0.05999999866,507,565,528,412,832,934,865,761,577,0,,31890210,249,-145.7601749,60.54406292
1408,Cordova,2013,1705,1026,185,98,175,341,227,701,0.6800000072,64,0.05999999866,505,521,512,409,775,916,859,760,604,352,,32082238,206,-145.7601749,60.54406292
1409,Cordova,2014,1718,1063,205,100,188,342,228,729,0.6899999976,62,0.05999999866,514,549,516,411,821,938,863,781,594,389,,32527650,220,-145.7601749,60.54406292
1410,Cordova,2015,1751,1104,215,103,186,357,243,787,0.7099999785,63,0.05999999866,532,572,556,428,772,973,923,798,606,401,,35005424,193,-145.7601749,60.54406292
1411,Covenant Life,2001,79,41,16,7,11,7,0,38,0.9300000072,1,0.01999999955,25,16,19,14,22,36,38,30,17,21,,473350,7,-135.989808,59.39371811
1412,Covenant Life,2002,70,34,11,7,6,9,1,27,0.7900000215,2,0.05999999866,20,14,13,9,18,29,29,25,15,20,,432500,9,-135.989808,59.39371811
1413,Covenant Life,2003,77,30,10,10,3,6,1,24,0.8000000119,1,0.02999999933,18,12,13,8,17,24,22,22,11,19,,362946,15,-135.989808,59.39371811
1414,Covenant Life,2004,86,39,20,8,6,4,1,33,0.8500000238,2,0.05000000075,25,14,16,9,18,26,30,28,15,26,,388338,12,-135.989808,59.39371811
1415,Covenant Life,2005,77,39,12,7,14,4,2,34,0.8700000048,3,0.07999999821,23,16,17,8,23,32,33,29,16,17,,553539,9,-135.989808,59.39371811
1416,Covenant Life,2006,82,42,10,11,11,4,6,38,0.8999999762,3,0.0700000003,29,13,20,16,28,38,38,34,24,23,,719326,14,-135.989808,59.39371811
1417,Covenant Life,2007,90,45,11,13,8,9,4,40,0.8899999857,5,0.1099999994,25,20,22,15,28,39,38,35,22,21,,816982,14,-135.989808,59.39371811
1418,Covenant Life,2008,92,41,10,3,11,13,4,34,0.8299999833,5,0.1199999973,22,19,19,15,29,38,39,30,22,14,,894441,15,-135.989808,59.39371811
1419,Covenant Life,2009,91,45,7,8,12,12,6,37,0.8199999928,5,0.1099999994,18,27,22,15,22,38,40,43,19,18,,1086504,19,-135.989808,59.39371811
1420,Covenant Life,2010,99,48,13,4,14,12,5,41,0.8500000238,6,0.1299999952,20,28,17,12,31,42,41,37,26,18,,1022195,20,-135.989808,59.39371811
1421,Covenant Life,2011,99,44,8,7,5,19,5,37,0.8399999738,5,0.1099999994,19,25,14,9,29,41,38,34,25,13,,1087420,16,-135.989808,59.39371811
1422,Covenant Life,2012,98,43,6,3,11,17,6,32,0.7400000095,5,0.1199999973,19,24,18,13,34,39,39,35,27,0,,1251604,14,-135.989808,59.39371811
1423,Covenant Life,2013,80,33,5,2,2,17,7,23,0.6999999881,6,0.1800000072,14,19,18,15,27,30,29,30,23,10,,1136819,8,-135.989808,59.39371811
1424,Covenant Life,2014,88,40,4,4,4,18,10,27,0.6800000072,6,0.150000006,19,21,21,20,33,36,39,37,30,7,,1498944,6,-135.989808,59.39371811
1425,Covenant Life,2015,85,42,5,4,7,19,7,28,0.6700000167,8,0.1899999976,23,19,19,17,34,38,38,37,30,11,,1303560,7,-135.989808,59.39371811
1426,Craig,2001,936,638,168,86,117,207,60,495,0.7799999714,22,0.02999999933,308,330,230,124,503,551,546,467,370,279,,13450218,228,-133.1510826,55.47604421
1427,Craig,2002,888,587,149,78,124,180,56,420,0.7200000286,18,0.02999999933,283,304,221,138,452,494,488,467,351,274,,12308712,196,-133.1510826,55.47604421
1428,Craig,2003,876,592,144,63,117,198,70,427,0.7200000286,19,0.02999999933,291,301,217,151,474,510,511,474,383,249,,13576763,177,-133.1510826,55.47604421
1429,Craig,2004,845,567,135,73,106,177,76,411,0.7200000286,20,0.03999999911,268,299,227,160,447,496,506,462,366,243,,13459349,141,-133.1510826,55.47604421
1430,Craig,2005,826,564,140,76,89,175,84,416,0.7400000095,25,0.03999999911,271,293,226,151,456,478,465,448,341,214,,13485580,133,-133.1510826,55.47604421
1431,Craig,2006,825,547,128,70,115,156,78,391,0.7099999785,26,0.05000000075,269,278,216,144,433,466,462,435,346,234,,13581601,142,-133.1510826,55.47604421
1432,Craig,2007,795,508,112,57,91,165,83,361,0.7099999785,22,0.03999999911,256,252,203,132,404,444,431,417,330,201,,13547127,126,-133.1510826,55.47604421
1433,Craig,2008,844,538,130,65,90,171,82,367,0.6800000072,23,0.03999999911,269,269,224,159,422,447,454,419,325,225,,13707083,128,-133.1510826,55.47604421
1434,Craig,2009,842,546,135,69,79,180,83,373,0.6800000072,19,0.02999999933,273,273,231,163,425,452,468,440,346,208,,14315167,147,-133.1510826,55.47604421
1435,Craig,2010,835,533,115,61,84,182,91,379,0.7099999785,19,0.03999999911,265,268,234,167,428,470,449,429,344,192,,14883870,147,-133.1510826,55.47604421
1436,Craig,2011,867,551,104,63,96,196,92,386,0.6999999881,20,0.03999999911,262,289,238,176,440,484,481,441,362,206,,15695504,161,-133.1510826,55.47604421
1437,Craig,2012,868,556,101,74,90,192,99,405,0.7300000191,19,0.02999999933,267,289,246,182,425,477,466,458,340,0,,16232184,160,-133.1510826,55.47604421
1438,Craig,2013,839,536,86,62,76,195,117,389,0.7300000191,18,0.02999999933,250,286,249,195,441,464,462,453,370,189,,17490234,114,-133.1510826,55.47604421
1439,Craig,2014,843,547,97,61,96,174,119,408,0.75,20,0.03999999911,250,297,245,193,438,485,470,429,344,207,,17280439,128,-133.1510826,55.47604421
1440,Craig,2015,821,505,71,57,88,182,107,374,0.7400000095,19,0.03999999911,240,265,234,186,408,450,450,420,336,168,,16113719,106,-133.1510826,55.47604421
1441,Crooked Creek,2001,72,53,22,9,13,8,1,36,0.6800000072,0,0,27,26,11,7,38,36,45,46,28,30,,601377,15,-158.1058165,61.87042537
1442,Crooked Creek,2002,77,61,25,12,9,14,1,31,0.5099999905,0,0,27,34,12,5,39,49,47,43,26,38,,717354,19,-158.1058165,61.87042537
1443,Crooked Creek,2003,75,56,21,10,10,15,0,30,0.5400000215,1,0.01999999955,24,32,15,8,39,44,50,47,32,37,,680792,20,-158.1058165,61.87042537
1444,Crooked Creek,2004,78,60,23,16,6,14,1,16,0.2700000107,0,0,30,30,13,8,40,49,52,48,31,39,,768910,23,-158.1058165,61.87042537
1445,Crooked Creek,2005,85,65,26,9,14,14,2,29,0.4499999881,0,0,31,34,18,9,49,46,59,41,28,49,,847448,23,-158.1058165,61.87042537
1446,Crooked Creek,2006,74,61,24,4,13,19,1,23,0.3799999952,0,0,30,31,15,8,31,50,56,45,26,32,,917247,15,-158.1058165,61.87042537
1447,Crooked Creek,2007,82,60,25,8,8,18,1,20,0.3300000131,0,0,33,27,16,10,45,45,47,37,29,26,,848714,20,-158.1058165,61.87042537
1448,Crooked Creek,2008,85,67,31,8,9,17,2,19,0.2800000012,1,0.009999999776,30,37,23,13,46,43,59,48,31,36,,846856,28,-158.1058165,61.87042537
1449,Crooked Creek,2009,89,65,30,8,8,18,1,16,0.25,1,0.01999999955,29,36,22,12,37,44,53,43,28,27,,814656,27,-158.1058165,61.87042537
1450,Crooked Creek,2010,92,63,25,8,11,17,2,11,0.1700000018,1,0.01999999955,30,33,22,13,41,50,50,48,32,34,,984922,22,-158.1058165,61.87042537
1451,Crooked Creek,2011,87,71,26,11,17,10,7,25,0.349999994,0,0,36,35,24,18,39,60,57,47,27,50,,1160574,21,-158.1058165,61.87042537
1452,Crooked Creek,2012,72,50,16,12,6,12,4,10,0.200000003,0,0,23,27,16,10,28,41,41,35,22,0,,889460,22,-158.1058165,61.87042537
1453,Crooked Creek,2013,81,54,27,4,7,12,4,13,0.2399999946,0,0,28,26,19,14,32,34,43,37,24,16,,861878,23,-158.1058165,61.87042537
1454,Crooked Creek,2014,89,63,24,7,13,16,3,15,0.2399999946,0,0,32,31,24,18,41,41,51,51,27,28,,968149,15,-158.1058165,61.87042537
1455,Crooked Creek,2015,82,51,18,4,14,10,5,9,0.1800000072,0,0,27,24,21,17,39,41,39,33,27,12,,886249,14,-158.1058165,61.87042537
1456,Crown Point,2001,58,26,7,4,3,9,3,21,0.8100000024,2,0.07999999821,12,14,7,3,22,20,22,17,14,11,,570959,10,-149.3695472,60.41930962
1457,Crown Point,2002,58,31,8,5,6,8,4,25,0.8100000024,3,0.1000000015,16,15,12,8,21,29,26,23,17,18,,661989,9,-149.3695472,60.41930962
1458,Crown Point,2003,55,30,6,2,7,10,5,26,0.8700000048,2,0.0700000003,18,12,11,8,23,26,27,21,20,14,,734962,9,-149.3695472,60.41930962
1459,Crown Point,2004,62,33,5,4,5,10,9,29,0.8799999952,2,0.05999999866,14,19,14,10,24,31,30,30,22,16,,1031775,9,-149.3695472,60.41930962
1460,Crown Point,2005,54,25,1,5,4,7,8,20,0.8000000119,3,0.1199999973,12,13,13,8,21,25,25,21,20,6,,854249,8,-149.3695472,60.41930962
1461,Crown Point,2006,48,24,3,3,2,8,8,18,0.75,4,0.1700000018,11,13,15,10,22,22,20,19,17,10,,856235,7,-149.3695472,60.41930962
1462,Crown Point,2007,47,22,3,4,4,4,7,15,0.6800000072,5,0.2300000042,7,15,11,7,17,21,18,17,13,5,,724572,4,-149.3695472,60.41930962
1463,Crown Point,2008,49,20,2,0,4,9,5,12,0.6000000238,4,0.200000003,7,13,11,6,16,20,17,17,12,8,,691735,7,-149.3695472,60.41930962
1464,Crown Point,2009,53,24,6,2,2,9,5,15,0.6299999952,6,0.25,13,11,14,9,14,21,21,19,12,12,,708483,10,-149.3695472,60.41930962
1465,Crown Point,2010,62,26,4,3,3,11,5,20,0.7699999809,4,0.150000006,17,9,9,7,20,26,24,23,19,10,,854383,10,-149.3695472,60.41930962
1466,Crown Point,2011,59,22,6,3,4,2,7,17,0.7699999809,3,0.1400000006,14,8,11,8,16,20,19,12,10,5,,621435,9,-149.3695472,60.41930962
1467,Crown Point,2012,47,18,3,4,6,2,3,13,0.7200000286,3,0.1700000018,11,7,10,9,11,17,16,14,9,0,,400571,9,-149.3695472,60.41930962
1468,Crown Point,2013,55,25,3,5,5,7,5,16,0.6399999857,4,0.1599999964,15,10,14,12,16,23,23,18,14,10,,777640,9,-149.3695472,60.41930962
1469,Crown Point,2014,52,24,4,3,7,5,5,15,0.6299999952,2,0.07999999821,14,10,9,7,18,22,21,17,15,9,,688226,10,-149.3695472,60.41930962
1470,Crown Point,2015,42,16,2,2,3,4,5,8,0.5,2,0.1299999952,10,6,11,10,14,13,11,12,10,3,,540673,7,-149.3695472,60.41930962
1471,Deering,2001,93,77,18,11,19,21,8,32,0.4199999869,0,0,34,43,25,19,59,69,65,63,48,39,,1632898,19,-162.7288422,66.07667336
1472,Deering,2002,84,67,14,16,12,19,6,28,0.4199999869,0,0,24,43,22,19,61,57,57,52,43,44,,1248977,22,-162.7288422,66.07667336
1473,Deering,2003,88,73,23,9,18,19,4,33,0.4499999881,0,0,30,43,24,20,53,58,62,59,43,30,,1231691,28,-162.7288422,66.07667336
1474,Deering,2004,99,78,19,13,22,20,4,32,0.4099999964,1,0.009999999776,33,45,27,19,54,71,68,62,47,39,,1433784,26,-162.7288422,66.07667336
1475,Deering,2005,98,67,22,6,13,21,5,26,0.3899999857,0,0,32,35,26,19,58,44,58,54,38,29,,1264280,21,-162.7288422,66.07667336
1476,Deering,2006,94,72,17,10,15,20,10,37,0.5099999905,1,0.009999999776,33,39,28,19,49,62,67,59,42,49,,1647599,15,-162.7288422,66.07667336
1477,Deering,2007,96,69,18,7,19,19,6,23,0.3300000131,0,0,36,33,26,16,49,58,59,53,35,35,,1414129,21,-162.7288422,66.07667336
1478,Deering,2008,92,71,22,5,15,24,5,29,0.4099999964,0,0,36,35,24,16,50,56,60,58,40,34,,1466901,15,-162.7288422,66.07667336
1479,Deering,2009,85,66,18,12,11,20,5,22,0.3300000131,5,0.07999999821,29,37,23,14,50,59,53,58,40,37,,1393893,22,-162.7288422,66.07667336
1480,Deering,2010,85,67,18,12,12,17,8,30,0.4499999881,1,0.009999999776,31,36,26,15,46,57,56,58,41,35,,1463235,18,-162.7288422,66.07667336
1481,Deering,2011,81,70,17,7,10,29,7,41,0.5899999738,0,0,33,37,25,19,50,61,61,57,42,41,,1720576,14,-162.7288422,66.07667336
1482,Deering,2012,91,69,20,10,10,19,10,40,0.5799999833,0,0,32,37,23,17,49,51,56,61,39,0,,1569099,32,-162.7288422,66.07667336
1483,Deering,2013,88,63,15,5,15,19,9,26,0.4099999964,0,0,30,33,22,16,52,58,54,50,43,30,,1527504,20,-162.7288422,66.07667336
1484,Deering,2014,101,67,22,5,5,26,9,26,0.3899999857,3,0.03999999911,33,34,19,15,51,62,55,55,45,33,,1527575,19,-162.7288422,66.07667336
1485,Deering,2015,87,64,16,9,12,21,6,28,0.4399999976,0,0,34,30,19,15,47,56,54,53,37,36,,1383902,13,-162.7288422,66.07667336
1486,Delta Junction,2001,729,358,105,67,65,67,54,292,0.8199999928,16,0.03999999911,162,196,141,92,249,284,303,269,183,168,,7620289,84,-145.7366682,64.04716726
1487,Delta Junction,2002,718,349,86,61,80,60,62,286,0.8199999928,12,0.02999999933,163,186,156,106,256,289,302,270,201,197,,8101201,76,-145.7366682,64.04716726
1488,Delta Junction,2003,765,407,96,47,81,111,72,339,0.8299999833,13,0.02999999933,189,218,172,115,298,338,349,322,231,184,,10335886,85,-145.7366682,64.04716726
1489,Delta Junction,2004,773,443,82,53,74,147,87,374,0.8399999738,8,0.01999999955,206,237,173,115,337,377,386,361,274,208,,12707907,95,-145.7366682,64.04716726
1490,Delta Junction,2005,795,481,74,53,65,177,112,403,0.8399999738,14,0.02999999933,224,257,183,122,387,415,418,409,319,217,,15499905,85,-145.7366682,64.04716726
1491,Delta Junction,2006,848,506,96,51,67,180,112,422,0.8299999833,13,0.02999999933,233,273,194,122,403,441,426,405,320,185,,15903450,108,-145.7366682,64.04716726
1492,Delta Junction,2007,813,454,78,53,65,142,116,373,0.8199999928,16,0.03999999911,218,236,182,130,365,385,403,359,286,183,,14889192,60,-145.7366682,64.04716726
1493,Delta Junction,2008,854,479,89,53,60,155,122,399,0.8299999833,11,0.01999999955,222,257,180,131,383,413,414,383,303,162,,16216404,84,-145.7366682,64.04716726
1494,Delta Junction,2009,883,464,78,35,71,159,121,378,0.8100000024,16,0.02999999933,210,254,177,126,367,396,399,354,274,177,,16507946,130,-145.7366682,64.04716726
1495,Delta Junction,2010,904,460,74,40,67,140,139,371,0.8100000024,17,0.03999999911,204,256,170,124,367,394,409,385,305,201,,17112321,125,-145.7366682,64.04716726
1496,Delta Junction,2011,958,476,72,55,64,151,134,393,0.8299999833,18,0.03999999911,211,265,175,126,382,406,409,395,310,185,,17229396,129,-145.7366682,64.04716726
1497,Delta Junction,2012,1011,498,83,51,68,139,157,414,0.8299999833,14,0.02999999933,226,272,190,131,390,426,432,399,313,0,,18421313,128,-145.7366682,64.04716726
1498,Delta Junction,2013,1006,486,75,47,62,138,164,404,0.8299999833,19,0.03999999911,211,275,175,129,401,435,421,399,321,178,,18827338,112,-145.7366682,64.04716726
1499,Delta Junction,2014,1010,489,75,39,64,140,171,406,0.8299999833,19,0.03999999911,212,277,179,127,404,425,429,398,332,173,,20224251,89,-145.7366682,64.04716726
1500,Delta Junction,2015,1021,486,71,45,50,142,178,409,0.8399999738,13,0.02999999933,219,267,168,123,382,434,431,412,328,206,,21181331,67,-145.7366682,64.04716726
1501,Deltana,2001,1145,534,152,81,85,129,87,417,0.7799999714,40,0.0700000003,241,293,214,136,371,426,459,420,286,250,,12499715,127,-145.1737915,63.88714449
1502,Deltana,2002,1124,555,146,67,105,147,90,428,0.7699999809,45,0.07999999821,258,297,235,139,379,445,460,433,285,302,,13625671,149,-145.1737915,63.88714449
1503,Deltana,2003,1143,585,122,71,105,175,112,472,0.8100000024,38,0.05999999866,262,323,247,147,411,492,511,481,334,273,,16044417,130,-145.1737915,63.88714449
1504,Deltana,2004,1239,671,113,81,118,234,125,547,0.8199999928,45,0.0700000003,305,366,274,175,508,571,594,552,419,342,,19002255,129,-145.1737915,63.88714449
1505,Deltana,2005,1338,739,129,82,117,242,169,614,0.8299999833,44,0.05999999866,351,388,290,197,566,631,642,594,441,298,,22844003,117,-145.1737915,63.88714449
1506,Deltana,2006,1399,749,122,71,112,265,179,619,0.8299999833,41,0.05000000075,348,401,315,207,595,660,652,611,486,295,,24287650,160,-145.1737915,63.88714449
1507,Deltana,2007,1481,789,132,87,100,263,207,651,0.8299999833,43,0.05000000075,347,442,342,230,620,663,670,661,503,306,,26645557,130,-145.1737915,63.88714449
1508,Deltana,2008,1534,779,114,64,133,247,221,628,0.8100000024,50,0.05999999866,363,416,339,244,633,685,688,640,515,283,,27807018,147,-145.1737915,63.88714449
1509,Deltana,2009,1611,821,140,70,110,278,223,666,0.8100000024,51,0.05999999866,383,438,347,246,636,700,701,641,490,307,,29503107,205,-145.1737915,63.88714449
1510,Deltana,2010,1624,733,120,66,112,232,203,611,0.8299999833,44,0.05999999866,330,403,310,228,567,619,652,598,461,304,,26564123,195,-145.1737915,63.88714449
1511,Deltana,2011,1641,742,124,70,117,225,206,607,0.8199999928,39,0.05000000075,342,400,309,242,573,643,637,586,466,268,,26876573,179,-145.1737915,63.88714449
1512,Deltana,2012,1639,733,109,82,109,208,225,594,0.8100000024,41,0.05999999866,334,399,311,237,567,634,641,590,461,0,,27392470,171,-145.1737915,63.88714449
1513,Deltana,2013,1612,713,120,56,95,218,224,574,0.8100000024,41,0.05999999866,319,394,312,242,570,621,610,559,440,230,,27123025,174,-145.1737915,63.88714449
1514,Deltana,2014,1592,701,137,49,99,185,231,581,0.8299999833,39,0.05999999866,324,377,313,240,541,592,602,565,440,255,,26996124,132,-145.1737915,63.88714449
1515,Deltana,2015,1624,733,104,70,94,198,267,607,0.8299999833,39,0.05000000075,338,395,330,251,578,654,634,590,475,319,,30835473,114,-145.1737915,63.88714449
1516,Denali Borough,2001,1462,887,199,93,152,208,235,692,0.7799999714,56,0.05999999866,363,524,358,192,629,795,768,655,494,311,,26655700,243,-149.0058449,63.87038443
1517,Denali Borough,2002,1458,850,178,93,130,238,211,669,0.7900000215,54,0.05999999866,353,497,360,210,609,755,728,615,475,328,,25896862,261,-149.0058449,63.87038443
1518,Denali Borough,2003,1466,852,181,107,123,227,214,663,0.7799999714,54,0.05999999866,361,491,339,204,587,749,728,633,472,317,,25282683,283,-149.0058449,63.87038443
1519,Denali Borough,2004,1441,816,163,101,136,194,222,644,0.7900000215,45,0.05999999866,346,470,344,216,541,725,729,602,443,317,,25939950,272,-149.0058449,63.87038443
1520,Denali Borough,2005,1449,839,179,96,115,210,239,656,0.7799999714,44,0.05000000075,359,480,359,230,544,743,737,637,438,348,,27335034,219,-149.0058449,63.87038443
1521,Denali Borough,2006,1422,834,161,88,133,200,252,646,0.7699999809,47,0.05999999866,368,466,360,225,593,757,723,628,480,356,,29184778,222,-149.0058449,63.87038443
1522,Denali Borough,2007,1426,834,169,100,118,218,229,663,0.7900000215,43,0.05000000075,372,462,382,260,566,731,714,625,452,331,,27826641,216,-149.0058449,63.87038443
1523,Denali Borough,2008,1467,834,147,100,113,223,251,654,0.7799999714,46,0.05999999866,367,467,373,255,594,739,726,645,495,294,,29654455,227,-149.0058449,63.87038443
1524,Denali Borough,2009,1481,841,155,87,135,208,256,659,0.7799999714,43,0.05000000075,362,479,375,266,581,777,762,641,487,274,,31657937,247,-149.0058449,63.87038443
1525,Denali Borough,2010,1466,810,148,87,118,186,271,636,0.7900000215,42,0.05000000075,367,443,378,271,560,715,715,612,464,248,,32149388,257,-149.0058449,63.87038443
1526,Denali Borough,2011,1463,810,130,87,130,189,274,641,0.7900000215,38,0.05000000075,355,455,387,283,583,741,710,622,483,241,,32707512,242,-149.0058449,63.87038443
1527,Denali Borough,2012,1461,802,140,74,109,206,273,617,0.7699999809,50,0.05999999866,347,455,391,286,580,712,714,619,475,0,,32898905,234,-149.0058449,63.87038443
1528,Denali Borough,2013,1409,775,125,76,109,185,280,589,0.7599999905,50,0.05999999866,349,426,375,273,537,706,687,605,445,250,,33390708,225,-149.0058449,63.87038443
1529,Denali Borough,2014,1425,776,127,59,101,194,295,599,0.7699999809,39,0.05000000075,337,439,365,271,557,711,676,618,461,234,,34831625,170,-149.0058449,63.87038443
1530,Denali Borough,2015,1423,783,126,66,94,195,302,596,0.7599999905,41,0.05000000075,347,436,375,289,572,717,676,603,473,232,,36010692,154,-149.0058449,63.87038443
1531,Diamond Ridge,2001,1338,710,160,94,127,219,110,532,0.75,44,0.05999999866,357,353,268,146,512,610,621,524,402,295,,17867808,138,-151.5575,59.6761111
